Assembly	Illumina coverage	PacBio coverage	Contamination	Total length	Correct length	Ambiguous length	Misassembled length	Unaligned length	Others_length	Total contigs	Correct contigs	Ambiguous contigs	Misassembled contigs	Unaligned contigs	Others contigs	Max contig length	Max good contig length	N50 all	N50 good contigs	%Plasmids coverage	Number plasmids complete	Plasmids complete length	%Plasmids complete (length)	Contamination length	Number contaminated contigs
megahit	1X	-	0%	7754069	2884756	4307745	550925	7328	3315	5048	2171	2511	357	6	3	20235	20235	1442	1440	7.223978	0	0	0.0	0	0
metaspades	1X	-	0%	9180006	4161882	4567094	445534	5496	0	6101	3187	2683	227	4	0	64558	64558	1383	1364	7.794279	0	0	0.0	0	0
spades	1X	-	0%	13834635	4930780	4021613	4794871	25173	62198	8773	3476	2311	2931	19	36	93999	93999	1467	1426	7.239091	20	1298480	0.5208982690229753	0	0
megahit	2X	-	0%	45354852	32288426	11329308	1723221	8920	4977	27997	22204	4780	1002	7	4	36881	36881	1546	1540	24.99208	16	64648	0.02593419328429957	0	0
metaspades	2X	-	0%	55243004	42389033	11215978	1624307	9340	4346	34168	29099	4374	688	6	1	47689	47689	1538	1522	28.43313	14	49198	0.01973627090089361	0	0
spades	2X	-	0%	64391949	38304922	8390850	17593195	18829	84153	36441	24879	3041	8462	11	48	115035	63759	1710	1590	23.82124	14	49214	0.01974268946129067	0	0
megahit	5X	-	0%	184331120	169638385	12623827	2068908	0	0	56727	53103	3193	431	0	0	184557	184557	4093	4075	80.9683	112	1424723	0.5715419140358114	0	0
metaspades	5X	-	0%	189634492	174840065	10614050	4169961	10416	0	50741	48114	1983	640	4	0	184228	184228	4878	4823	81.69145	137	1767512	0.7090551577824357	0	0
spades	5X	-	0%	194159420	175599958	9951555	8605658	2249	0	50813	47713	1858	1240	2	0	201993	184789	5032	4899	81.06064	144	1587452	0.6368222837140812	0	0
megahit	10X	-	0%	204907565	190324845	12910441	1672279	0	0	18321	14769	3489	63	0	0	369321	369321	35292	35107	89.32368	447	10132003	4.064554574914972	0	0
metaspades	10X	-	0%	206878234	188054245	11644520	7172134	7335	0	12695	10241	2244	206	4	0	471101	423338	48905	48043	87.98264	539	15121314	6.066066699489312	0	0
spades	10X	-	0%	209308318	189203005	10752121	9352071	1121	0	13985	11364	2379	241	1	0	482749	482749	49616	48638	87.70948	559	16684709	6.693238276486397	0	0
megahit	20X	-	0%	205727370	190861346	12895904	1970120	0	0	16413	12876	3507	30	0	0	823396	708657	51557	50875	89.48668	549	23155280	9.288972699419567	0	0
metaspades	20X	-	0%	209576906	188181506	11238348	10149466	7586	0	9217	6959	2086	168	4	0	1770377	1770377	84436	82150	87.57061	727	44954702	18.034029369912272	0	0
spades	20X	-	0%	210291727	190877123	10870719	8542764	1121	0	12043	9504	2415	123	1	0	1770377	1770377	78142	75082	88.40198	736	44444189	17.829231962163423	0	0
